epoch,step,kind,loss,precision,recall,f1,lr,grad_norm
0.2,10,train,2.6065954208374023,,,,4.5e-06,8.900259971618652
0.4,20,train,2.1479602813720704,,,,9.5e-06,8.386154174804688
0.6,30,train,1.2095704078674316,,,,1.45e-05,1.3824907541275024
0.8,40,train,0.7746261119842529,,,,1.95e-05,1.7887179851531982
1.0,50,train,0.6751185417175293,,,,1.95e-05,1.4347937107086182
1.0,50,eval,0.5495845079421997,0.5233585858585859,0.2479066985645933,0.3364448051948052,,
1.2,60,train,0.5049278736114502,,,,1.8944444444444447e-05,0.9197072982788086
1.4,70,train,0.35475740432739256,,,,1.838888888888889e-05,1.5014609098434448
1.6,80,train,0.2920839786529541,,,,1.7833333333333334e-05,1.9776493310928345
1.8,90,train,0.23725738525390624,,,,1.727777777777778e-05,1.068332552909851
2.0,100,train,0.19587193727493285,,,,1.6722222222222225e-05,1.363837480545044
2.0,100,eval,0.17660653591156006,0.7791027825099376,0.8205741626794258,0.7993009030002914,,
2.2,110,train,0.14052218198776245,,,,1.616666666666667e-05,1.1106175184249878
2.4,120,train,0.13307814598083495,,,,1.5611111111111113e-05,0.7343129515647888
2.6,130,train,0.1410852313041687,,,,1.5055555555555556e-05,0.6901100277900696
2.8,140,train,0.12651684284210205,,,,1.45e-05,1.1182430982589722
3.0,150,train,0.12523264884948732,,,,1.3944444444444446e-05,0.8775100111961365
3.0,150,eval,0.13026361167430878,0.8190449595085172,0.8770933014354066,0.8470758122743683,,
3.2,160,train,0.08539025783538819,,,,1.338888888888889e-05,0.9547938108444214
3.4,170,train,0.09485020637512206,,,,1.2833333333333335e-05,1.1984981298446655
3.6,180,train,0.0845883846282959,,,,1.227777777777778e-05,1.2593127489089966
3.8,190,train,0.0852177083492279,,,,1.1722222222222224e-05,1.2107501029968262
4.0,200,train,0.07777665257453918,,,,1.1166666666666668e-05,0.7862511873245239
4.0,200,eval,0.1207459419965744,0.8338504936530324,0.8839712918660287,0.858179706778923,,
4.2,210,train,0.07004626989364623,,,,1.0611111111111111e-05,0.5598219633102417
4.4,220,train,0.06071895360946655,,,,1.0055555555555557e-05,0.9122107028961182
4.6,230,train,0.06030417680740356,,,,9.5e-06,1.286540150642395
4.8,240,train,0.056138616800308225,,,,8.944444444444446e-06,1.3089265823364258
5.0,250,train,0.059317201375961304,,,,8.38888888888889e-06,1.3736225366592407
5.0,250,eval,0.1220487430691719,0.8453401943967982,0.8842703349282297,0.8643671441099094,,
5.2,260,train,0.05196006298065185,,,,7.833333333333333e-06,0.5000738501548767
5.4,270,train,0.04790608882904053,,,,7.277777777777778e-06,0.6045716404914856
5.6,280,train,0.05945970416069031,,,,6.7222222222222235e-06,0.6714040040969849
5.8,290,train,0.04220388233661652,,,,6.166666666666667e-06,0.658587634563446
6.0,300,train,0.04311057925224304,,,,5.611111111111112e-06,0.505429208278656
6.0,300,eval,0.12063806504011154,0.8478817173727609,0.8917464114832536,0.8692610406646262,,
6.2,310,train,0.046091228723526,,,,5.0555555555555555e-06,0.8409934043884277
6.4,320,train,0.03328049778938293,,,,4.5e-06,0.6866500973701477
6.6,330,train,0.04284859299659729,,,,3.944444444444445e-06,0.8917238116264343
6.8,340,train,0.04246881604194641,,,,3.3888888888888893e-06,0.9213693737983704
7.0,350,train,0.04026961326599121,,,,2.8333333333333335e-06,0.5480988025665283
7.0,350,eval,0.12280526757240295,0.8555460017196904,0.8926435406698564,0.8737011561539587,,
7.2,360,train,0.033055040240287784,,,,2.277777777777778e-06,0.779877245426178
7.4,370,train,0.03953443467617035,,,,1.7222222222222224e-06,0.7711924910545349
7.6,380,train,0.03211276829242706,,,,1.1666666666666668e-06,0.6616605520248413
7.8,390,train,0.042096367478370665,,,,6.111111111111112e-07,0.8056493997573853
8.0,400,train,0.039515870809555056,,,,5.555555555555556e-08,0.3654453456401825
8.0,400,eval,0.12512819468975067,0.8445449406444319,0.8935406698564593,0.8683522231909329,,
