experiment,seed,epochs,batch_size,learning_rate,warmup_steps,train_runtime_s,train_loss,val_loss,val_precision,val_recall,val_f1,test_loss,test_precision,test_recall,test_f1
epochs_16_fixed,42,5,16,4e-05,12,60.64,0.4147,0.125,0.839,0.8792,0.8586,0.1206,0.8369,0.8755,0.8558
epochs_16_fixed,43,5,16,4e-05,12,60.25,0.4104,0.124,0.8358,0.8798,0.8572,0.1193,0.8322,0.8764,0.8537
epochs_16_fixed,44,5,16,4e-05,12,60.43,0.3924,0.1228,0.8339,0.8771,0.855,0.1151,0.834,0.8797,0.8562
epochs_8,42,8,8,2e-05,40,100.49,0.2761,0.1229,0.8562,0.892,0.8738,0.1132,0.8633,0.8945,0.8786
epochs_8,43,8,8,2e-05,40,100.66,0.2736,0.1249,0.8555,0.8903,0.8725,0.1109,0.8611,0.8972,0.8788
epochs_8,44,8,8,2e-05,40,100.56,0.2645,0.1238,0.8567,0.8935,0.8747,0.11,0.8554,0.8936,0.8741
combined,42,5,8,3e-05,25,63.04,0.322,0.1168,0.8513,0.8888,0.8696,0.1102,0.8516,0.8909,0.8708
combined,43,5,8,3e-05,25,63.02,0.3178,0.1199,0.8517,0.8929,0.8718,0.1089,0.8485,0.89,0.8687
combined,44,5,8,3e-05,25,63.1,0.3028,0.1178,0.8502,0.8891,0.8692,0.1065,0.8575,0.8945,0.8756
